method,models,num_models,fusion_space,val_accuracy,val_macro_f1,val_kappa,weights_json,test_accuracy,test_macro_f1,test_kappa,test_f1_class_0,test_f1_class_1,test_f1_class_2,test_f1_class_3,test_f1_class_4
optimized_weighted_soft_vote,"B2-5,R7,B0-7,B0-6,B2-4-GGC,B2-6-GGC",6,probability,0.7951807228915663,0.7666096198883083,0.851753947274416,"[0.24349675, 0.03914367, 0.22763128, 0.06556852, 0.08297997, 0.34117981]",0.6310679611650486,0.5616332686920922,0.7545887751500177,0.7692307692307693,0.3333333333333333,0.5333333333333333,0.5294117647058824,0.6428571428571429
optimized_weighted_logits,"B2-5,B0-7,B2-6-GGC",3,raw_logits,0.7951807228915663,0.7642271062271062,0.8600939640641251,"[0.24450471, 0.40432708, 0.35116821]",0.6213592233009708,0.5000652856246076,0.7088387829145057,0.7407407407407407,0.0,0.5084745762711864,0.6111111111111112,0.64
temperature_optimized_weighted_logits,"B2-4,B2-5,B2-6,R7,B0-7,B2-6-GGC",6,temperature_logits,0.8192771084337349,0.7639723239723238,0.9100433526011561,"[0.21509245, 0.08742144, 0.00080322, 0.22368154, 0.24236553, 0.23063583]",0.6213592233009708,0.5399809972865002,0.6435825993169153,0.7532467532467533,0.3333333333333333,0.5806451612903226,0.5882352941176471,0.4444444444444444
zscore_optimized_weighted_logits,"B2-4,B2-5,R7,B0-7,B2-4-GGC,B2-6-GGC",6,zscore_logits,0.8192771084337349,0.7639723239723238,0.9100433526011561,"[0.23203923, 0.09794766, 0.2093653, 0.26097977, 0.13030987, 0.06935818]",0.6310679611650486,0.5364286182700505,0.681652149480191,0.7692307692307693,0.3333333333333333,0.6153846153846154,0.5294117647058824,0.43478260869565216
mean_logits,"B2-5,R7,B0-7,B2-6-GGC",4,raw_logits,0.7951807228915663,0.7303825136612023,0.8604642844368137,,0.6213592233009708,0.5415742869937663,0.714936166413713,0.7692307692307693,0.3333333333333333,0.5573770491803278,0.5294117647058824,0.5185185185185185
zscore_mean_logits,"B2-5,R7,B0-7,B2-6-GGC",4,zscore_logits,0.7951807228915663,0.7303825136612023,0.8604642844368137,,0.6213592233009708,0.542984852662272,0.7069996640161271,0.7692307692307693,0.3333333333333333,0.5483870967741935,0.5454545454545454,0.5185185185185185
temperature_mean_logits,"B2-4,R7,B0-7,B2-6-GGC",4,temperature_logits,0.8313253012048193,0.7282360326428122,0.9121629018720578,,0.6116504854368932,0.4699529860820183,0.676797561412946,0.7532467532467533,0.0,0.5806451612903226,0.5714285714285714,0.4444444444444444
temperature_weighted_logits,"B2-4,R7,B0-7,B2-6-GGC",4,temperature_logits,0.8313253012048193,0.7282360326428122,0.9121629018720578,"[0.24380933, 0.25978738, 0.24316507, 0.25323822]",0.6213592233009708,0.5373310324992809,0.6853690310408338,0.7631578947368421,0.3333333333333333,0.5901639344262295,0.5555555555555556,0.4444444444444444
zscore_weighted_logits,"B2-4,R7,B2-6-GGC",3,zscore_logits,0.8072289156626506,0.723529411764706,0.9080841638981174,"[0.32214334, 0.343255, 0.33460166]",0.6116504854368932,0.5419860970085136,0.6541302887844191,0.7466666666666667,0.3333333333333333,0.5423728813559322,0.5714285714285714,0.5161290322580645
soft_vote,"B2-5,B0-7,B2-6-GGC",3,probability,0.7710843373493976,0.7204481792717086,0.8394697049618455,,0.6116504854368932,0.4872057007650228,0.7089110659719156,0.7407407407407407,0.0,0.5084745762711864,0.5714285714285714,0.6153846153846154
weighted_soft_vote,"B2-5,B0-7,B2-6-GGC",3,probability,0.7710843373493976,0.7204481792717086,0.8394697049618455,"[0.35895147, 0.3140201, 0.32702843]",0.6116504854368932,0.5442956478549699,0.7141366371367037,0.75,0.3333333333333333,0.5084745762711864,0.5142857142857142,0.6153846153846154
weighted_mean_logits,"B2-5,B0-6,B2-6-GGC",3,raw_logits,0.7710843373493976,0.7199397773134499,0.8520600534722698,"[0.3569618, 0.31782249, 0.32521571]",0.5922330097087378,0.5261382752819834,0.7031305427456545,0.7341772151898734,0.3333333333333333,0.5,0.47058823529411764,0.5925925925925926
