Group,Group Name,Strategy,Completed_Folds,RMSE_kcal_mean,RMSE_kcal_std,MAE_kcal_mean,R2_mean,RMSE_Wkg_mean,Val_RMSE_kcal_mean,BestEpoch_mean,Params_mean,Time_sec_mean,Best_Single_Signal,Best_Single_RMSE_kcal,Improvement_vs_Best_Single_%
G1,Local,intermediate_fusion,10,1.6714062878889355,0.4660829120608495,1.314166671037674,0.5824663579463959,1.701741437163441,1.2518939712203365,15.1,148545.0,386.8451845884323,right Ankle Acceleration,2.052,18.547451857264353
G1,Local,late_fusion,10,1.7233743089122306,0.4562563049700938,1.3906034231185913,0.5899620175361633,1.7427139396737577,1.3435634524954172,17.3,140561.0,431.9918078660965,right Ankle Acceleration,2.052,16.01489722649948
G1,Local,early_fusion,10,1.8814332956728805,0.6601994702755961,1.4224705636501311,0.5429018557071685,1.8766149272085422,1.4495068498521457,11.1,18465.0,56.9363694190979,right Ankle Acceleration,2.052,8.312217559801145
G2,Global,intermediate_fusion,10,1.099315197750323,0.3904444627277954,0.8020003944635391,0.8582040548324585,1.0964871012873156,0.7695849184805997,11.2,148545.0,329.69114577770233,Minute Ventilation,0.991,-10.929888773998291
G2,Global,late_fusion,10,1.2000989283994952,0.5054523699433703,0.951580411195755,0.808672034740448,1.2137377202891273,0.7482627141229438,16.4,140561.0,399.30930092334745,Minute Ventilation,0.991,-21.09979095857671
G2,Global,early_fusion,10,1.6096141704147477,0.8326727330929745,1.2036843419075012,0.7127570509910583,1.5663808760309852,1.2344125708299072,6.4,18465.0,43.93924090862274,Minute Ventilation,0.991,-62.42322607616022
G3,Hexoskin,late_fusion,10,1.0942476500046872,0.4284303450467098,0.8591573864221573,0.8566739141941071,1.0895098479253769,0.6950024085964684,15.8,70281.0,198.50311875343323,Minute Ventilation,0.991,-10.418531786547645
G3,Hexoskin,intermediate_fusion,10,1.1626988511062737,0.5396338511650755,0.9395485877990722,0.8449883103370667,1.1430473656610323,0.6960909053857962,24.3,74305.0,257.8661571741104,Minute Ventilation,0.991,-17.32581746783791
G3,Hexoskin,early_fusion,10,1.2708151709684126,0.33561347539946096,1.002213317155838,0.8054451167583465,1.2790354669786588,0.9390450168293661,12.8,17953.0,57.31210582256317,Minute Ventilation,0.991,-28.23563783737766
G4,Physiological,late_fusion,10,1.0677577360127126,0.3801491701865117,0.8590502917766571,0.8376314997673034,1.0928641464411544,0.7078369331634536,16.7,70281.0,207.8182790994644,Minute Ventilation,0.991,-7.745482947801477
G4,Physiological,early_fusion,10,1.1649799304256614,0.24943207043823293,0.9028602778911591,0.8284093260765075,1.1755148386598897,0.9166462595012181,12.4,17953.0,53.98498618602753,Minute Ventilation,0.991,-17.555997015707508
G4,Physiological,intermediate_fusion,10,1.1731261266751258,0.3831732739417297,0.9751677453517914,0.8266643047332763,1.1928682859707451,0.6668811664302156,18.1,74305.0,196.47301433086395,Minute Ventilation,0.991,-18.378014800719058
G5,Motion,intermediate_fusion,10,1.8746492529946852,0.6774082787915096,1.5014021337032317,0.5903349936008453,1.8582913521555908,1.3807211436340627,15.2,111425.0,255.4632491350174,right Ankle Acceleration,2.052,8.64282392813425
G5,Motion,early_fusion,10,1.964860336340914,0.8418085529054016,1.539243119955063,0.5370255589485169,1.9442937114312204,1.5204621088577857,11.3,18209.0,51.219652843475345,right Ankle Acceleration,2.052,4.246572303074365
G5,Motion,late_fusion,10,2.065085399124567,0.4703347356154212,1.6445691585540771,0.4639457523822784,2.0862589652523686,1.6239552943907256,16.9,105421.0,298.66193678379057,right Ankle Acceleration,2.052,-0.6376900158171036
G6,Local + Global,intermediate_fusion,10,1.075271333527154,0.3172883190647814,0.851973682641983,0.8655809581279754,1.0720100758525253,0.7038551627682913,21.0,297025.0,937.3791569709778,Minute Ventilation,0.991,-8.503666349864176
G6,Local + Global,early_fusion,10,1.246465493555735,0.47107647971491345,0.9930392563343048,0.7687609910964965,1.2534141407255874,0.9770841133108439,9.8,19489.0,55.85862934589386,Minute Ventilation,0.991,-25.778556362839062
G6,Local + Global,late_fusion,10,1.3319901625115413,0.6833061266952077,1.063394421339035,0.7736049115657806,1.3088725502103657,0.7804303572522242,20.5,281121.0,969.330571770668,Minute Ventilation,0.991,-34.40869450166916
